LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EU27_2020,HUR,MEN,PC_LF,Q,2017-Q4,7.633333,
EU27_2020,HUR,MEN,PC_LF,Q,2018-Q1,7.4,
EU27_2020,HUR,MEN,PC_LF,Q,2018-Q2,7.2,
EU27_2020,HUR,MEN,PC_LF,Q,2018-Q3,7.033333,
EU27_2020,HUR,MEN,PC_LF,Q,2018-Q4,6.866667,
EU27_2020,HUR,MEN,PC_LF,Q,2019-Q1,6.7,
EU27_2020,HUR,MEN,PC_LF,Q,2019-Q2,6.566667,
EU27_2020,HUR,MEN,PC_LF,Q,2019-Q3,6.433333,
EU27_2020,HUR,MEN,PC_LF,Q,2019-Q4,6.466667,
EU27_2020,HUR,MEN,PC_LF,Q,2020-Q1,6.333333,
EU27_2020,HUR,MEN,PC_LF,Q,2020-Q2,6.933333,
EU27_2020,HUR,MEN,PC_LF,Q,2020-Q3,7.4,
EU27_2020,HUR,MEN,PC_LF,Q,2020-Q4,7.233333,
EU27_2020,HUR,MEN,PC_LF,Q,2021-Q1,7.2,
EU27_2020,HUR,MEN,PC_LF,Q,2021-Q2,6.966667,
EU27_2020,HUR,MEN,PC_LF,Q,2021-Q3,6.533333,
EU27_2020,HUR,MEN,PC_LF,Q,2021-Q4,6.3,
EU27_2020,HUR,MEN,PC_LF,Q,2022-Q1,5.966667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2000-Q1,10.5,
EU27_2020,HUR,WOMEN,PC_LF,Q,2000-Q2,10.36667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2000-Q3,10.23333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2000-Q4,9.966666,
EU27_2020,HUR,WOMEN,PC_LF,Q,2001-Q1,9.8,
EU27_2020,HUR,WOMEN,PC_LF,Q,2001-Q2,9.733334,
EU27_2020,HUR,WOMEN,PC_LF,Q,2001-Q3,9.7,
EU27_2020,HUR,WOMEN,PC_LF,Q,2001-Q4,9.833333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2002-Q1,9.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2002-Q2,9.933333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2002-Q3,10,
EU27_2020,HUR,WOMEN,PC_LF,Q,2002-Q4,9.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2003-Q1,10.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2003-Q2,10.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2003-Q3,10.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2003-Q4,10.93333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2004-Q1,11.13333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2004-Q2,11,
EU27_2020,HUR,WOMEN,PC_LF,Q,2004-Q3,10.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2004-Q4,10.93333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2005-Q1,10.73333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2005-Q2,10.8,
EU27_2020,HUR,WOMEN,PC_LF,Q,2005-Q3,10.63333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2005-Q4,10.5,
EU27_2020,HUR,WOMEN,PC_LF,Q,2006-Q1,10.2,
EU27_2020,HUR,WOMEN,PC_LF,Q,2006-Q2,9.8,
